X,Y
2.5069599302,-20.7019487805
3.1558608845,-21.9593992530
3.7985290655,-23.8451132749
4.7015886647,-26.1500390125
5.8650396820,-28.8741764660
7.4266956606,-31.4592538216
9.7799138492,-34.2548604090
12.5313369991,-36.9114068985
15.8153160016,-39.2196567819
19.5044252690,-40.6907759572
27.6915192731,-42.0983670134
36.2816659511,-42.8782485445
41.9666477375,-43.1654178036
48.0491419549,-43.3833340259
54.6607293730,-43.6019889472
60.7425310600,-43.8897122305
66.4295904375,-43.9674603065
72.9095970858,-44.1161234920
79.7878086954,-44.3572657978
86.0018836826,-44.3936345379
91.4250889902,-44.4120620323
94.6038033768,-44.1067960313
96.7361043782,-42.4041884237
97.8122965692,-40.6906822347
99.2832310697,-38.7871512532
100.0872588263,-37.9811533862
