n,P
124.56193370443306,140563.84350718866
132.66815729856822,207691.48442982166
145.82126096552352,369208.8209275002
170.55442091515357,773495.2164268299
212.08000076541458,1523219.535677732
259.5010541406095,2493074.2748633716
327.16878844779865,3321817.852209002
431.73419934853183,3911778.2439692747
605.5476981454436,4071051.65599538
786.3780460424525,4067254.2018935364
1085.9661567055023,4062568.119324388
1522.7931412548555,3975096.8195692133
2490.735076049897,4134677.9438401978
4823.617142050446,4124929.4550989754
8260.652392914593,4117011.6090857387
13100.21747728024,4110236.981715389
18946.35163263889,4190087.795365185
27399.139254628317,4184570.9865228366
39018.698053348744,4179290.860783486
57300.65315298469,4173559.150116218
77923.60048115546,4168979.4418653306
99649.82995390263,4165319.293804208
135514.57287251766,4160748.6272696545
178708.20611294705,4156639.3157638153
239280.2970405256,3985038.0750346235
